alexander9104,W,L,hermanlhl
captainravioli1,W,L,yaminookami
tacopigg,W,L,hartz
fabioakadiobrando,L,W,mirai39
judgewill,W,L,sharnel
agumontamer,L,W,chase1995
andycaly,L,W,dragon235
azuredo,L,W,desmond17
nyaaaaaaaa,L,W,daschmied
zystral,W,L,nephira
_lesgrossman,L,W,arracht
maybealie,W,L,slowqueen
dubudeccer,L,W,gernoth
chuulet,L,W,weissandchill
bran_,W,L,yohceezax
onetrueemiya,W,L,maccann
charitard,W,L,AlexGQ#4272
cjacuzzi,L,W,dynamitekitty
naituolf,W,L,darkgamer39
mocascorner,L,W,steveyouth112
azu44,W,L,monaberce
kisamatt,L,W,ahrithedoge
huskeyninja ,L,W,bamcospy
bluehairrem,W,L,gothmomymous
emilyeva,L,W,floytesangen
Tokuro71#1710,L,W,notscripted
megurineluka,W,L,elyisus
dracoslayer122,W,L,ryn99
jd_m,W,L,ryoo
lpokiuj,W,L,.muon
ashrakv,L,W,kabaine
exu6,W,L,agente00mati
manny916,L,W,bromyos
asterisk_x,L,W,agumontamer
arracht,L,W,bigpapialex
madoka_hk,L,W,isylphia
stacysmomlinseym,L,W,exu6
totoxri,W,L,lo_ak
yohceezax,L,W,celednb
shadownja,L,W,onetrueemiya
steveyouth112,L,W,ashrakv
elyisus,W,L,azuredo
daschmied,W,L,bluehairrem
hyper1001,L,W,powerofloli
ahrithedoge,L,W,emilyeva
ryoo,L,W,alexander9104
earthweebandfire,L,W,naituolf
rak6472,W,L,maybealie
jazzy_reporter,L,W,lpokiuj
notscripted,W,L,toquill
lord_voltaire,L,W,kisamatt
omegaknight08,W,L,zystral
gothmomymous,W,L,lulu90981
ryn99,L,W,judgewill
scottishroebuck,W,L,charitard
justtato,L,W,.ironstark
dynamitekitty,W,L,Tokuro71#1710
.muon,L,W,fabioakadiobrando
gernoth,W,L,mocascorner
falkyun,W,L,nyaaaaaaaa
bamcospy,L,W,megurineluka
kabaine,W,L,spectald
maccann,L,W,ayumuseiki
twc0000,W,L,chuulet
nephira,L,W,agente00mati
mintywench,W,L,jd_m
dragon235,L,W,kisamatt
andycaly,L,W,steveyouth112
weissandchill,W,L,asterisk_x
doraemonpoi,L,W,megurineluka
dosso_87,W,L,huskeyninja
spectald,L,W,jazzy_reporter
slowqueen,L,W,.muon
twc0000,W,L,bromyos
chase1995,W,L,ayumuseiki
judgewill,W,L,gothmomymous
lord_voltaire,L,W,_gerrit
rak6472,W,L,exu6
sharnel,W,L,bigpapialex
azuredo,W,L,darkgamer39
earthweebandfire,W,L,floytesangen
shadownja,W,L,dracoslayer122
kayosei,W,L,celednb
fabioakadiobrando,L,W,ahrithedoge
scottishroebuck,L,W,kabaine
hyper1001,W,L,Tokuro71#1710
_sproink,L,W,mocascorner
tacopigg,W,L,dynamitekitty
yohceezax,L,W,ryn99
Mikeyy#8717,W,L,lulu90981
hartz,W,L,azu44
toquill,W,L,monaberce
arracht,L,W,elyisus
falkyun,L,W,chelinka
yaminookami,L,W,bluehairrem
lo_ak,W,L,AlexGQ#4272
steveyouth112,W,L,scottishroebuck
dracoslayer122,L,W,mirai39
agente00mati,L,W,justtato
isylphia,W,L,alexander9104
manny916,L,W,earthweebandfire
jd_m,L,W,dosso_87
asterisk_x,L,W,hyper1001
onetrueemiya,W,L,azuredo
stacysmomlinseym,L,W,slowqueen
lulu90981,W,L,hartz
notscripted,W,L,Mikeyy#8717
bran_,W,L,agumontamer
gothmomymous,L,W,maccann
chelinka,W,L,_sproink
totoxri,L,W,rak6472
maybealie,L,W,spectald
darkgamer39,W,L,gernoth
bromyos,W,L,sharnel
_gerrit,W,L,mintywench
zystral,L,W,tacopigg
bamcospy,L,W,daschmied
ashrakv,W,L,desmond17
kabaine,L,W,madoka_hk
ikaorii,L,W,toquill
AlexGQ#4272,L,W,weissandchill
lpokiuj,W,L,kayosei
ryoo,W,L,falkyun
dubudeccer,W,L,andycaly
dynamitekitty,W,L,yohceezax
emilyeva,W,L,hermanlhl
elyisus,L,W,doraemonpoi
chuulet,L,W,captainravioli1
desmond17,W,L,arracht
spectald,L,W,justtato
