Team1,Team2,Team1Wins,Team2Wins,Stage,Week
4,2,4,4,GR,1
5,9,4,4,GR,1
6,8,4,4,GR,1
3,7,5,3,GR,1
8,3,2,6,GR,2
7,4,4,4,GR,2
9,6,3,5,GR,2
1,5,4,4,GR,2
9,7,2,6,GR,3
1,3,6,2,GR,3
2,6,5,3,GR,3
4,8,5,3,GR,3
8,9,3,5,GR,4
3,2,6,2,GR,4
7,1,3,5,GR,4
5,4,4,4,GR,4
2,9,6,2,GR,5
4,1,4,4,GR,5
5,7,4,4,GR,5
6,3,4,4,GR,5
3,4,4,4,GR,6
7,6,5,3,GR,6
8,5,5,3,GR,6
1,2,3,5,GR,6
3,5,3,5,GR,7
6,4,5,3,GR,7
8,2,2,6,GR,7
9,1,3,5,GR,7
1,8,5,3,GR,8
2,7,5,3,GR,8
4,9,6,2,GR,8
5,6,4,4,GR,8
6,1,3,5,GR,9
5,2,5,3,GR,9
3,9,4,4,GR,9
7,8,3,5,GR,9
3,2,4,3,SF,10
4,1,5,2,SF,10
3,4,5,2,FI,11
